dataset_index,EVENT,split,source_data_path,is_overfit_selected,is_overfit_train,is_overfit_dev,is_overfit_test,Latitude,Longitude,DEPTH,Magnitude,Origin_Time(JST),n_station_rows
0,20240101161000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.495,137.27,16.0,7.6,2024/01/01 16:10:00,1511
0,20240101165600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.262,136.857,14.0,5.8,2024/01/01 16:56:00,353
0,20240101165900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.863,137.752,11.0,4.0,2024/01/01 16:59:00,19
0,20240101170700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.11,136.61,0.0,5.3,2024/01/01 17:07:00,136
0,20240101184000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.107,136.647,6.0,4.8,2024/01/01 18:40:00,91
0,20240101185000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.363,136.965,5.0,3.0,2024/01/01 18:50:00,5
0,20240101195600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.392,136.9,7.0,3.5,2024/01/01 19:56:00,3
0,20240102002400,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.212,136.607,0.0,3.9,2024/01/02 00:24:00,15
0,20240102013400,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.798,137.683,21.0,3.4,2024/01/02 01:34:00,10
0,20240103125400,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.647,137.607,23.0,5.0,2024/01/03 12:54:00,179
0,20240105001700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,38.662,141.507,68.0,3.7,2024/01/05 00:17:00,69
0,20240109175900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,37.91,137.763,27.0,6.1,2024/01/09 17:59:00,460
0,20240110144300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,40.098,140.628,6.0,4.3,2024/01/10 14:43:00,53
0,20240111194800,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,42.738,142.47,12.0,3.7,2024/01/11 19:48:00,26
0,20240113155600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_2024.hdf5,True,True,False,False,43.598,144.373,0.0,4.0,2024/01/13 15:56:00,14
