event_id,origin_time_jst_raw,origin_timestamp_raw,training_latitude,training_longitude,training_depth_km,training_magnitude,candidate_count,match_status,accepted,origin_time_jst_corrected,origin_timestamp_corrected,origin_time_correction_s,jma_event_id,jma_origin_time_jst,jma_origin_timestamp,jma_latitude,jma_longitude,jma_depth_km,jma_magnitude,jma_region,jma_source_url,jma_source_date,time_diff_s,abs_time_diff_s,horizontal_distance_km,depth_diff_km,magnitude_diff,match_score,second_match_score,score_margin,second_jma_event_id,second_jma_origin_time_jst,second_time_diff_s,second_horizontal_distance_km,second_depth_diff_km,second_magnitude_diff
20240101160600,2024-01-01T16:06:00+09:00,1704092760.0,37.51,137.245,12.0,5.5,2,matched,1,2024-01-01T16:06:06.100+09:00,1704092766.1,6.099999904632568,20240101160606100,2024-01-01T16:06:06.100+09:00,1704092766.1,37.51,137.245,12.0,5.5,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,6.099999904632568,6.099999904632568,0.0,0.0,0.0,0.20333333015441896,2.8786176291123065,2.6752842989578873,20240101160715100,2024-01-01T16:07:15.100+09:00,75.09999990463257,1.8764214947894382,0.0,
20240101161000,2024-01-01T16:10:00+09:00,1704093000.0,37.495,137.27,16.0,7.6,4,matched,1,2024-01-01T16:10:22.500+09:00,1704093022.5,22.5,20240101161022500,2024-01-01T16:10:22.500+09:00,1704093022.5,37.495,137.27,16.0,7.6,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,22.5,22.5,0.0,0.0,0.0,0.75,1.5924112218822755,0.8424112218822755,20240101161008300,2024-01-01T16:10:08.300+09:00,8.299999952316284,3.57872278402533,6.0,
20240101161700,2024-01-01T16:17:00+09:00,1704093420.0,37.318,136.943,12.0,5.1,4,matched,1,2024-01-01T16:17:49.400+09:00,1704093469.4,49.40000009536743,20240101161749400,2024-01-01T16:17:49.400+09:00,1704093469.4,37.31333333333333,136.94833333333332,12.0,5.0,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,49.40000009536743,49.40000009536743,0.7012275024893857,0.0,0.09999999999999964,2.12024550367679,4.940639789933889,2.8203942862570988,20240101161718800,2024-01-01T16:17:18.800+09:00,18.799999952316284,15.069865624283402,3.0,0.2999999999999998
20240101161800,2024-01-01T16:18:00+09:00,1704093480.0,37.198,136.818,11.0,6.1,1,matched,1,2024-01-01T16:18:42.600+09:00,1704093522.6,42.59999990463257,20240101161842600,2024-01-01T16:18:42.600+09:00,1704093522.6,37.19833333333333,136.81833333333333,11.0,6.1,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,42.59999990463257,42.59999990463257,0.04738653449427467,0.0,0.0,1.4294773037199406,,inf,,,,,,
20240101162000,2024-01-01T16:20:00+09:00,1704093600.0,37.195,136.88,7.0,4.1,2,matched,1,2024-01-01T16:20:35.300+09:00,1704093635.3,35.299999952316284,20240101162035300,2024-01-01T16:20:35.300+09:00,1704093635.3,37.20333333333333,136.89666666666668,9.0,4.2,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,35.299999952316284,35.299999952316284,1.7429151168053882,2.0,0.10000000000000053,2.0585830217716223,8.02756001637589,5.968976994604268,20240101161834500,2024-01-01T16:18:34.500+09:00,-85.5,19.221133415212787,0.0,0.39999999999999947
20240101162100,2024-01-01T16:21:00+09:00,1704093660.0,37.295,136.928,10.0,4.2,4,ambiguous,0,2024-01-01T16:20:52.500+09:00,1704093652.5,-7.5,20240101162052500,2024-01-01T16:20:52.500+09:00,1704093652.5,37.36833333333333,137.02666666666667,10.0,4.3,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,-7.5,7.5,11.94129536367211,0.0,0.09999999999999964,2.971592406067754,3.036021070388468,0.06442866432071392,20240101162035300,2024-01-01T16:20:35.300+09:00,-24.700000047683716,10.563438677328385,1.0,0.0
20240101162300,2024-01-01T16:23:00+09:00,1704093780.0,37.462,137.172,12.0,4.3,6,matched,1,2024-01-01T16:23:46.700+09:00,1704093826.7,46.700000047683716,20240101162346700,2024-01-01T16:23:46.700+09:00,1704093826.7,37.461666666666666,137.17166666666665,12.0,4.3,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,46.700000047683716,46.700000047683716,0.047322160024779535,0.0,0.0,1.5661311002610798,2.80667277548047,1.24054167521939,20240101162303700,2024-01-01T16:23:03.700+09:00,3.700000047683716,5.7500305361217325,2.0,0.3999999999999999
20240101162500,2024-01-01T16:25:00+09:00,1704093900.0,37.47,137.098,18.0,4.1,5,matched,1,2024-01-01T16:25:42.900+09:00,1704093942.9,42.90000009536743,20240101162542900,2024-01-01T16:25:42.900+09:00,1704093942.9,37.43833333333333,137.15333333333334,12.0,4.1,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,42.90000009536743,42.90000009536743,6.021238603588599,6.0,0.0,3.2342477238966345,4.961029029181794,1.7267813052851593,20240101162511400,2024-01-01T16:25:11.400+09:00,11.400000095367432,17.238478463347736,8.0,0.09999999999999964
20240101162800,2024-01-01T16:28:00+09:00,1704094080.0,37.227,137.042,2.0,4.5,1,matched,1,2024-01-01T16:27:30.100+09:00,1704094050.1,-29.90000009536743,20240101162730100,2024-01-01T16:27:30.100+09:00,1704094050.1,37.36833333333333,137.13833333333332,13.0,4.4,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,-29.90000009536743,29.90000009536743,17.877058932107815,11.0,0.09999999999999964,6.005411789600476,,inf,,,,,,
20240101162900,2024-01-01T16:29:00+09:00,1704094140.0,37.512,137.093,10.0,4.7,5,matched,1,2024-01-01T16:29:02.800+09:00,1704094142.8,2.799999952316284,20240101162902800,2024-01-01T16:29:02.800+09:00,1704094142.8,37.51166666666666,137.09333333333333,10.0,4.7,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,2.799999952316284,2.799999952316284,0.047309924387557385,0.0,0.0,0.1027953166213876,5.583409910776924,5.480614594155536,20240101162948400,2024-01-01T16:29:48.400+09:00,48.40000009536743,8.350382871323372,3.0,0.6000000000000005
