year,event_id,advertised_site_count,inner_kwin_count,knet_kwin_count,kiknet_kwin_count,site_count_matches,error
2000,20000101143400,4,4,4,0,1,
2000,20000715100500,1,1,1,0,1,
2000,20001231233700,13,13,6,7,1,
2001,20010101160000,5,5,0,5,1,
2001,20010522215400,5,5,3,2,1,
2001,20011230173700,13,13,6,7,1,
2002,20020101051900,7,7,5,2,1,
2002,20020716223500,13,13,5,8,1,
2002,20021231191100,52,52,22,30,1,
2003,20030101194900,5,5,4,1,1,
2003,20030726093300,1,1,0,1,1,
2003,20031231003200,1,1,1,0,1,
2004,20040102044800,31,31,13,18,1,
2004,20041023214800,4,4,0,4,1,
2004,20041231173000,81,81,31,50,1,
2005,20050101051400,296,296,154,142,1,
2005,20050501220400,3,3,2,1,1,
2005,20051231233200,48,48,33,15,1,
2006,20060101163300,9,9,7,2,1,
2006,20060616232100,18,18,16,2,1,
2006,20061231172100,1,1,1,0,1,
2007,20070101005000,15,15,11,4,1,
2007,20070607111900,47,47,30,17,1,
2007,20071230044200,7,7,6,1,1,
2008,20080102012000,86,86,36,50,1,
2008,20080615125800,7,7,1,6,1,
2008,20081231004800,46,46,26,20,1,
2009,20090101084900,87,87,34,53,1,
2009,20090808073000,62,62,28,34,1,
2009,20091231180300,13,13,7,6,1,
2010,20100104064400,66,66,35,31,1,
2010,20100727083100,189,189,91,98,1,
2010,20101228220700,103,103,43,60,1,
2011,20110101080100,163,163,80,83,1,
2011,20110618081900,16,16,11,5,1,
2011,20111231192900,18,18,8,10,1,
2012,20120101002900,70,70,26,44,1,
2012,20120531013000,21,21,8,13,1,
2012,20121231071700,26,26,11,15,1,
2013,20130102035500,2,2,1,1,1,
2013,20130620221900,73,73,31,42,1,
2013,20131231171800,18,18,6,12,1,
2014,20140101041600,15,15,6,9,1,
2014,20140701044300,19,19,9,10,1,
2014,20141231234900,175,175,105,70,1,
2015,20150101140100,126,126,56,70,1,
2015,20150710033300,359,359,184,175,1,
2015,20151229021200,18,18,12,6,1,
2016,20160101004700,74,74,46,28,1,
2016,20160513072800,9,9,4,5,1,
2016,20161231154800,63,63,33,30,1,
2017,20170101014600,35,35,14,21,1,
2017,20170702035300,33,33,17,16,1,
2017,20171231071100,45,45,24,21,1,
2018,20180101044200,50,50,26,24,1,
2018,20180805164100,55,55,29,26,1,
2018,20181231231000,154,154,77,77,1,
2019,20190102174700,37,37,18,19,1,
2019,20190619050000,16,16,6,10,1,
2019,20191227141000,63,63,30,33,1,
2020,20200103032400,263,263,132,131,1,
2020,20200607214400,31,31,17,14,1,
2020,20201231234500,17,17,8,9,1,
2021,20210101015300,42,42,20,22,1,
2021,20210701064400,81,81,34,47,1,
2021,20211231145200,29,29,19,10,1,
2022,20220102034900,12,12,6,6,1,
2022,20220609022600,70,70,33,37,1,
2022,20221230231000,76,76,45,31,1,
2023,20230102142000,29,29,13,16,1,
2023,20230530201600,50,50,22,28,1,
2023,20231231073900,36,36,17,19,1,
2024,20240101160600,149,149,76,73,1,
2024,20240203051300,11,11,5,6,1,
2024,20241229013300,48,48,28,20,1,
2025,20250105085100,74,74,49,25,1,
2025,20250121031400,106,106,54,52,1,
2025,20250129085800,19,19,12,7,1,
