year,event_id,path,size_bytes,catalog_event,outer_tar_valid,outer_member_count,has_knet_product,has_kiknet_product,has_image_product,product_class,error
2000,20000101143400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000101143400.tar,1024000,1,1,2,1,0,1,knet_only,
2000,20000106204000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000106204000.tar,8366080,1,1,3,1,1,1,both,
2000,20000107045100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000107045100.tar,1853440,1,1,3,1,1,1,both,
2000,20000107193500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000107193500.tar,6563840,1,1,3,1,1,1,both,
2000,20000109130200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000109130200.tar,13209600,1,1,3,1,1,1,both,
2000,20000109224100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000109224100.tar,614400,1,1,2,0,1,1,kiknet_only,
2000,20000110173300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000110173300.tar,2570240,1,1,2,1,0,1,knet_only,
2000,20000110181000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000110181000.tar,1351680,1,1,2,1,0,1,knet_only,
2000,20000110222500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000110222500.tar,4147200,1,1,3,1,1,1,both,
2000,20000112110900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000112110900.tar,12032000,1,1,3,1,1,1,both,
2000,20000113080200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000113080200.tar,8499200,1,1,3,1,1,1,both,
2000,20000114092200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000114092200.tar,2129920,1,1,2,1,0,1,knet_only,
2000,20000115162900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000115162900.tar,1853440,1,1,2,1,0,1,knet_only,
2000,20000116213900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000116213900.tar,1259520,1,1,3,1,1,1,both,
2000,20000117131000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000117131000.tar,1351680,1,1,3,1,1,1,both,
2000,20000117205600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000117205600.tar,15011840,1,1,3,1,1,1,both,
2000,20000122064800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000122064800.tar,1638400,1,1,2,1,0,1,knet_only,
2000,20000123164000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000123164000.tar,4689920,1,1,3,1,1,1,both,
2000,20000124215000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000124215000.tar,7004160,1,1,3,1,1,1,both,
2000,20000125180200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000125180200.tar,3645440,1,1,2,1,0,1,knet_only,
2000,20000127115100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000127115100.tar,3635200,1,1,3,1,1,1,both,
2000,20000127123100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000127123100.tar,1198080,1,1,2,0,1,1,kiknet_only,
2000,20000127135300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000127135300.tar,1966080,1,1,3,1,1,1,both,
