year,catalog_rows,raw_catalog_events,advertised_station_records,tar_files,tar_size_bytes,outer_tar_valid,both_network_products,knet_only_products,kiknet_only_products,invalid_or_empty_products,processed_events,raw_not_processed,processed_not_raw,processed_station_rows,knet_station_rows,kiknet_station_rows,unique_station_codes
2000,1085,1085,17036,1085,3847792640,1085,365,632,88,0,490.0,595.0,0.0,8373.0,4387.0,3986.0,1029.0
2001,324,324,14978,324,3487047680,324,278,20,26,0,275.0,49.0,0.0,8309.0,3986.0,4323.0,1039.0
2002,304,304,13445,304,3203399680,304,272,29,3,0,264.0,40.0,0.0,7186.0,3164.0,4022.0,1041.0
2003,618,618,29077,618,7657932800,618,572,27,19,0,504.0,114.0,0.0,15214.0,5501.0,9713.0,1153.0
2004,692,692,35457,692,8774563840,692,639,14,39,0,616.0,76.0,0.0,16839.0,6256.0,10583.0,1237.0
2005,488,488,25718,488,5915709440,488,459,20,9,0,419.0,69.0,0.0,14049.0,6381.0,7668.0,1237.0
2006,327,327,17718,327,3346165760,327,311,16,0,0,300.0,27.0,0.0,9966.0,5054.0,4912.0,1153.0
2007,563,563,23755,563,4450222080,563,546,17,0,0,502.0,61.0,0.0,13225.0,6493.0,6732.0,1293.0
2008,550,550,35143,550,5472665600,550,548,2,0,0,529.0,21.0,0.0,20056.0,7175.0,12881.0,1254.0
2009,395,395,24439,395,3612088320,395,388,6,1,0,373.0,22.0,0.0,13030.0,5120.0,7910.0,1207.0
2010,311,311,23802,311,3537827840,311,308,3,0,0,300.0,11.0,0.0,13046.0,5383.0,7663.0,1207.0
2011,1822,1822,132082,1822,21014077440,1822,1780,27,15,0,1720.0,102.0,0.0,67070.0,27579.0,39491.0,1313.0
2012,991,991,65856,991,10037524480,991,985,5,1,0,959.0,32.0,0.0,38757.0,15134.0,23623.0,1250.0
2013,721,721,44374,721,6696683520,721,698,22,1,0,683.0,38.0,0.0,27363.0,10564.0,16799.0,1220.0
2014,582,582,37057,582,5500078080,582,576,6,0,0,563.0,19.0,0.0,22451.0,9123.0,13328.0,1275.0
2015,506,506,33166,506,4904919040,506,501,5,0,0,473.0,33.0,0.0,19805.0,8232.0,11573.0,1261.0
2016,983,982,55404,982,8036147200,982,971,8,3,0,936.0,46.0,0.0,35478.0,16493.0,18985.0,1300.0
2017,533,533,30265,533,4370892800,533,528,4,1,0,511.0,22.0,0.0,18540.0,7988.0,10552.0,1235.0
2018,641,641,37449,641,5342177280,641,634,7,0,0,618.0,23.0,0.0,23328.0,10159.0,13169.0,1321.0
2019,440,440,26002,440,3756206080,440,436,4,0,0,426.0,14.0,0.0,15672.0,6709.0,8963.0,1263.0
2020,421,421,26244,421,3828213760,421,408,13,0,0,396.0,25.0,0.0,15548.0,6579.0,8969.0,1222.0
2021,506,506,34251,506,5103073280,506,498,8,0,0,494.0,12.0,0.0,20263.0,8666.0,11597.0,1314.0
2022,525,525,33210,525,4872980480,525,518,7,0,0,509.0,16.0,0.0,20448.0,8952.0,11496.0,1285.0
2023,446,446,24135,446,3514337280,446,428,18,0,0,404.0,42.0,0.0,14288.0,6069.0,8219.0,1193.0
2024,1011,1011,38899,1011,5762416640,1011,989,21,1,0,889.0,122.0,0.0,23652.0,10399.0,13253.0,1329.0
2025,18,18,1358,18,187074560,18,18,0,0,0,,,,,,,
