metric,value
acceleration_catalog_files,301
acceleration_catalog_rows,15803
acceleration_unique_events_2000_2025_01,15802
acceleration_unique_events_2000_2024,15784
acceleration_tar_files,15802
acceleration_tar_bytes,146232217600
acceleration_outer_tar_valid,15802
acceleration_nested_tar_samples,78
acceleration_nested_site_count_matches,78
processed_acceleration_events,14153
processed_acceleration_station_rows,501956
processed_knet_rows,211546
processed_kiknet_rows,290410
velocity_archive_bytes,27278886134
velocity_complete_years,12
velocity_committed_events,12708
velocity_downloaded_events,12392
velocity_no_match_events,316
velocity_missing_events,1445
velocity_requested_station_rows,270050
velocity_vertical_channel_missing_rows,949
velocity_three_component_missing_rows,1086
velocity_sample_qc_rows,63
velocity_sample_qc_pass,61
velocity_sample_decoded,62
velocity_sample_checksum_pass,63
