year,source_events,archive_complete,archive_filename,archive_size_bytes,committed_events,downloaded_events,no_matched_station_events,missing_events,requested_station_rows,vertical_rows_available,vertical_rows_missing,three_component_rows_available,three_component_rows_missing,events_with_missing_vertical,match_distance_median_km,match_distance_p95_km,provider_data_unavailable,channel_table_or_merge_file_missing,hinetpy_empty_response,connection_interrupted,incomplete_time_coverage,other_missing_reason
2000,490,0,hinet_raw_2000.partial.h5,6452900,140,0,140,350,0,0,0,0,0,0,,,350,0,0,0,0,0
2001,275,0,hinet_raw_2001.partial.h5,4171428,8,0,8,267,0,0,0,0,0,0,,,267,0,0,0,0,0
2002,264,0,hinet_raw_2002.partial.h5,4167332,19,0,19,245,0,0,0,0,0,0,,,243,0,0,2,0,0
2003,504,0,hinet_raw_2003.partial.h5,6469284,3,0,3,501,0,0,0,0,0,0,,,501,0,0,0,0,0
2004,616,0,hinet_raw_2004.partial.h5,945449252,542,534,8,74,9302,9194,108,9190,112,64,0.0,0.0345279864730931,71,2,0,0,1,0
2005,419,0,hinet_raw_2005.partial.h5,778935914,418,410,8,1,7570,7506,64,7502,68,32,0.0,0.0333584779929977,0,0,1,0,0,0
2006,300,1,hinet_raw_2006.h5,524784290,300,290,10,0,5037,5011,26,4998,39,14,0.0,0.0137670389959593,0,0,0,0,0,0
2007,502,0,hinet_raw_2007.partial.h5,712877498,501,484,17,1,6895,6861,34,6855,40,18,0.0,0.030149090236776643,0,1,0,0,0,0
2008,529,1,hinet_raw_2008.h5,1365931200,529,525,4,0,13040,13007,33,13003,37,19,0.0,0.0,0,0,0,0,0,0
2009,373,1,hinet_raw_2009.h5,778551892,373,370,3,0,8055,8007,48,8001,54,25,0.0,0.0137653417971215,0,0,0,0,0,0
2010,300,1,hinet_raw_2010.h5,780642654,300,296,4,0,7781,7749,32,7747,34,21,0.0,0.0111194926645683,0,0,0,0,0,0
2011,1720,1,hinet_raw_2011.h5,4290987394,1720,1706,14,0,40039,39925,114,39912,127,74,0.0,0.0,0,0,0,0,0,0
2012,959,0,hinet_raw_2012.partial.h5,2381525834,958,950,8,1,23732,23639,93,23631,101,51,0.0,0.0111194926652756,0,0,1,0,0,0
2013,683,0,hinet_raw_2013.partial.h5,1651535126,682,676,6,1,16746,16610,136,16601,145,78,0.0,0.011119492663861,0,0,1,0,0,0
2014,563,1,hinet_raw_2014.h5,1319792334,563,557,6,0,13455,13407,48,13401,54,28,0.0,0.0137653417971215,0,0,0,0,0,0
2015,473,1,hinet_raw_2015.h5,1152235602,473,466,7,0,11693,11646,47,11645,48,28,0.0,0.0137653417971215,0,0,0,0,0,0
2016,936,0,hinet_raw_2016.partial.h5,1963131172,935,926,9,1,19428,19377,51,19372,56,32,0.0,0.0454370970049267,0,1,0,0,0,0
2017,511,1,hinet_raw_2017.h5,1041085420,511,505,6,0,10694,10657,37,10654,40,24,0.0,0.017666175383330707,0,0,0,0,0,0
2018,618,0,hinet_raw_2018.partial.h5,1272988252,617,613,4,1,13437,13407,30,13396,41,18,0.0,0.020918749880163578,0,1,0,0,0,0
2019,426,1,hinet_raw_2019.h5,897421424,426,422,4,0,9111,9072,39,9060,51,20,0.0,0.0218557962798882,0,0,0,0,0,0
2020,396,1,hinet_raw_2020.h5,916302966,396,394,2,0,9123,9123,0,9117,6,0,0.0,0.0137670389959593,0,0,0,0,0,0
2021,494,1,hinet_raw_2021.h5,1187888324,494,489,5,0,11715,11715,0,11710,5,0,0.0,0.0111194926652756,0,0,0,0,0,0
2022,509,0,hinet_raw_2022.partial.h5,1108198722,508,503,5,1,11382,11382,0,11373,9,0,0.0,0.0111194926652756,0,0,1,0,0,0
2023,404,1,hinet_raw_2023.h5,824022828,404,401,3,0,8320,8320,0,8316,4,0,0.0,0.0137653417971215,0,0,0,0,0,0
2024,889,0,hinet_raw_2024.partial.h5,1363337092,888,875,13,1,13495,13486,9,13480,15,5,0.0,0.0111194926645683,0,1,0,0,0,0
