model_id,model,checkpoint,split,distance_bin,targets,distance_mean,mae,rmse,bias,corr
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,best,val,0-50,415,27.2758225224477,0.32577640719218065,0.4269040967434885,-0.10822673831135035,0.6538060953930223
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,best,val,50-100,377,74.51538081595278,0.29288333830292723,0.3714225868824111,-0.002756165118211144,0.7041761819368648
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,best,val,100-200,475,139.9468189255843,0.2670006433913582,0.35032556443638285,0.05783894382025066,0.7358807956499147
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,best,val,200-400,113,242.64375250702452,0.3067239907990515,0.402780819703626,0.14199679773465723,0.6699909535587184
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,best,val,400-800,13,539.5524311027368,0.46334699484018177,0.6111119542359016,0.3431947964888353,0.48944661543629137
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,last,val,0-50,415,27.2758225224477,0.3231317147231066,0.4234661825226764,-0.0884224251608353,0.6539791360536085
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,last,val,50-100,377,74.51538081595278,0.2924609234265054,0.37175741291638537,0.0196559624227668,0.7056674278883338
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,last,val,100-200,475,139.9468189255843,0.27076724548088876,0.3552969268337519,0.08057609614573027,0.7356593812675877
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,last,val,200-400,113,242.64375250702452,0.31368327668282836,0.413245602484479,0.16337315171165803,0.6676261787052675
japan_overfit_pga15_cross_attention_overfitall_fixed_inputs_random_targets,Proposed model,last,val,400-800,13,539.5524311027368,0.4706371839229877,0.6249670701896916,0.37270803634936994,0.5005079501941195
