dataset_index,EVENT,split,source_data_path,is_overfit_selected,is_overfit_train,is_overfit_dev,is_overfit_test,Latitude,Longitude,DEPTH,Magnitude,Origin_Time(JST),n_station_rows
0,20240101160600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.51,137.245,12.0,5.5,2024/01/01 16:06:00,222
0,20240101161000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.495,137.27,16.0,7.6,2024/01/01 16:10:00,1509
0,20240101161700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.318,136.943,12.0,5.1,2024/01/01 16:17:00,89
0,20240101161800,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.198,136.818,11.0,6.1,2024/01/01 16:18:00,441
0,20240101162000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.195,136.88,7.0,4.1,2024/01/01 16:20:00,37
0,20240101162100,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.295,136.928,10.0,4.2,2024/01/01 16:21:00,21
0,20240101162300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.462,137.172,12.0,4.3,2024/01/01 16:23:00,32
0,20240101162500,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.47,137.098,18.0,4.1,2024/01/01 16:25:00,13
0,20240101162800,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.227,137.042,2.0,4.5,2024/01/01 16:28:00,93
0,20240101162900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.512,137.093,10.0,4.7,2024/01/01 16:29:00,44
0,20240101163000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.397,137.187,8.0,3.7,2024/01/01 16:30:00,14
0,20240101163200,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.322,136.972,13.0,4.7,2024/01/01 16:32:00,76
0,20240101163300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.197,136.638,2.0,4.3,2024/01/01 16:33:00,7
0,20240101163500,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.197,136.615,7.0,3.3,2024/01/01 16:35:00,9
0,20240101163600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.42,136.807,7.0,4.3,2024/01/01 16:36:00,28
0,20240101163700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.265,136.87,14.0,4.6,2024/01/01 16:37:00,67
0,20240101163900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.548,137.442,13.0,5.2,2024/01/01 16:39:00,122
0,20240101164000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.242,136.823,12.0,4.1,2024/01/01 16:40:00,32
0,20240101164100,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.24,136.818,7.0,3.6,2024/01/01 16:41:00,8
0,20240101164200,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.447,137.19,12.0,5.0,2024/01/01 16:42:00,95
0,20240101164500,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.857,137.835,14.0,4.7,2024/01/01 16:45:00,93
0,20240101164800,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.252,136.843,13.0,4.9,2024/01/01 16:48:00,124
0,20240101164900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.378,136.997,11.0,4.3,2024/01/01 16:49:00,21
0,20240101165100,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.348,137.052,15.0,4.3,2024/01/01 16:51:00,35
0,20240101165200,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.775,137.662,23.0,4.2,2024/01/01 16:52:00,34
0,20240101165300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.748,137.68,19.0,3.7,2024/01/01 16:53:00,7
0,20240101165500,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.273,136.723,6.0,4.1,2024/01/01 16:55:00,14
0,20240101165600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.262,136.857,14.0,5.8,2024/01/01 16:56:00,356
0,20240101165900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.863,137.752,11.0,4.0,2024/01/01 16:59:00,20
0,20240101170000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.293,136.807,6.0,3.6,2024/01/01 17:00:00,4
0,20240101170200,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.618,137.352,8.0,5.0,2024/01/01 17:02:00,77
0,20240101170400,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.37,136.982,14.0,3.8,2024/01/01 17:04:00,15
0,20240101170600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.37,136.963,6.0,3.8,2024/01/01 17:06:00,3
0,20240101170700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.11,136.61,0.0,5.3,2024/01/01 17:07:00,140
0,20240101171000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.395,137.102,11.0,4.0,2024/01/01 17:10:00,35
0,20240101171100,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.845,137.732,11.0,3.9,2024/01/01 17:11:00,15
0,20240101171300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.433,137.083,8.0,3.8,2024/01/01 17:13:00,11
0,20240101171400,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.358,136.87,8.0,3.9,2024/01/01 17:14:00,11
0,20240101171500,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.313,136.85,10.0,4.3,2024/01/01 17:15:00,52
0,20240101171700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.467,137.158,12.0,4.7,2024/01/01 17:17:00,54
0,20240101171800,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.187,136.843,10.0,4.1,2024/01/01 17:18:00,17
0,20240101172000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.377,136.932,2.0,3.9,2024/01/01 17:20:00,8
0,20240101172100,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.168,136.702,3.0,3.5,2024/01/01 17:21:00,3
0,20240101172200,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.465,137.205,12.0,4.9,2024/01/01 17:22:00,142
0,20240101172300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.163,136.713,2.0,3.6,2024/01/01 17:23:00,11
0,20240101172400,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.497,137.3,9.0,4.1,2024/01/01 17:24:00,6
0,20240101172630,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.118,136.627,1.0,3.6,2024/01/01 17:26:30,6
0,20240101172700,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.612,137.372,15.0,4.2,2024/01/01 17:27:00,17
0,20240101172900,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.632,137.537,16.0,4.5,2024/01/01 17:29:00,93
0,20240101173000,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.195,136.817,15.0,4.1,2024/01/01 17:30:00,18
0,20240101173300,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.673,137.453,6.0,3.8,2024/01/01 17:33:00,10
0,20240101173600,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.182,136.693,5.0,3.7,2024/01/01 17:36:00,24
0,20240101173800,train,/public/home/test_bigmodel/seismogram/zb/team_pytorch/japan_data/japan_2024.hdf5,False,False,False,False,37.463,137.153,11.0,3.2,2024/01/01 17:38:00,4
