scope,dimension,value,samples,targets,baseline_mae,candidate_mae,mae_delta,mae_ci95_low,mae_ci95_high,baseline_rmse,candidate_rmse,rmse_delta,rmse_ci95_low,rmse_ci95_high,target_improved_fraction,sample_improved_fraction
target_population,target_type,all,9681,75654,0.2831069269829196,0.2572286261726592,-0.025878300810260435,-0.028840914214147265,-0.022968719052464916,0.38204415320641577,0.33133677983315507,-0.0507073733732607,-0.05493770745162252,-0.04646077945834988,0.5315779734052396,0.572048342113418
target_population,target_type,non_input,9681,75654,0.2831069269829196,0.2572286261726592,-0.025878300810260435,-0.02877063623559799,-0.022859471077241313,0.38204415320641577,0.33133677983315507,-0.0507073733732607,-0.05484569166161638,-0.0464230152201195,0.5315779734052396,0.572048342113418
target_population,target_type,triggered_noninput,6256,33601,0.2589770889747615,0.24167121383142431,-0.0173058751433372,-0.02087497856546807,-0.013555594340675898,0.343213533261892,0.3055707355986502,-0.0376427976632418,-0.04174197330565256,-0.033396328473380116,0.5303413588881283,0.5554667519181585
target_population,target_type,untriggered,6289,42053,0.30238704224014545,0.2696592402091806,-0.03272780203096487,-0.036986326950370484,-0.02862697751529403,0.41043851496309086,0.350565793653213,-0.05987272130987786,-0.065599548440807,-0.05430698544501484,0.5325660476065917,0.5724280489743997
target_population,target_type,input,0,0,,,,,,,,,,,,
stratum_all_targets,requested_station_count,1,1540,15157,0.3233573417808165,0.3027494950162711,-0.020607846764545412,-0.02664802442638571,-0.01438126803559084,0.41864928448527455,0.375969143670857,-0.042680140814417566,-0.050261607950534685,-0.03565238901771866,0.5175826350860988,0.5337662337662338
stratum_all_targets,requested_station_count,3,1590,14427,0.28261844640383066,0.25976533711310146,-0.0228531092907292,-0.02891648352413593,-0.016890832708960173,0.3800338559394375,0.3330582397386419,-0.0469756162007956,-0.055050920196638375,-0.03817169043631191,0.5222152907742428,0.5849056603773585
stratum_all_targets,requested_station_count,5,1590,12694,0.278179685059422,0.24566287274567894,-0.03251681231374304,-0.037931808906093566,-0.0269578663237772,0.3801478264611521,0.31971571573839164,-0.060432110722760446,-0.06752308532042675,-0.05346856334035135,0.543485111076099,0.5962264150943396
stratum_all_targets,requested_station_count,8,1646,12072,0.26997757465125183,0.24051394754097633,-0.029463627110275503,-0.03475878044649285,-0.02405517957169731,0.37034338367401076,0.3128862398934105,-0.05745714378060024,-0.06537212573418891,-0.049412274035429526,0.538104705102717,0.5698663426488457
stratum_all_targets,requested_station_count,12,1668,10856,0.26755183766637713,0.24554642536806962,-0.02200541229830752,-0.028663697383154246,-0.01494462494999533,0.36624433124336936,0.3201198465774895,-0.04612448466587987,-0.05580809902215534,-0.035863746437259085,0.5304900515843773,0.5671462829736211
