protocol,population,row_index,event_id,requested_elapsed_time_seconds,actual_station_count,n_targets,eligible_ge5,truth_p95_p05_range,base_p95_p05_range,final_p95_p05_range,base_range_ratio,final_range_ratio,base_range_abs_error,final_range_abs_error,base_pairwise_delta_mae,final_pairwise_delta_mae,base_pairwise_delta_rmse,final_pairwise_delta_rmse,base_field_mean_error,final_field_mean_error,base_centered_error_mae,final_centered_error_mae,base_centered_error_rmse,final_centered_error_rmse,truth_ptp_range_diagnostic,base_ptp_range_diagnostic,final_ptp_range_diagnostic
random,all,0,20000922074300,1.0,3,15,True,0.46277812123298645,0.39801355600357047,0.40857644081115707,0.8600526639918439,0.8828776082209352,0.06476456522941598,0.05420168042182938,0.1296655745733352,0.13083993934449695,0.15967715208986213,0.16149326892706092,0.11424191792805989,0.07356922229131063,0.08738010459476046,0.08678578429751926,0.10908026106089734,0.1103209050486311,0.5369464159011841,0.4298992156982422,0.447465181350708
random,all,1,20000922074300,3.0,5,14,True,0.6916744545102118,0.3837194204330445,0.40720514953136444,0.5547688192485926,0.5887237079179314,0.3079550340771673,0.28446930497884737,0.22572343198807684,0.2283155043701549,0.2805378318013527,0.289111394917575,0.08001447362559182,0.08292253315448761,0.15195709679807937,0.15182718208857945,0.19115431088273133,0.1969962094201505,0.9636083543300629,0.3959008455276489,0.5051081776618958
random,all,2,20000922074300,5.0,12,7,True,0.6944940537214276,0.5906455993652342,0.6517004966735838,0.8504689078333727,0.9383816797011642,0.10384845435619339,0.04279355704784382,0.30201023249399095,0.3250769461904253,0.34961007051423637,0.37541386689374934,-0.06200123258999416,-0.05657904914447239,0.20004633981354383,0.2113008450488655,0.22887351597861957,0.24576606599666895,0.8542593419551849,0.7338488101959229,0.8082581758499146
random,all,3,20000922074300,10.0,5,14,True,0.6691570654511452,0.40599835813045504,0.4658350765705108,0.6067310338518674,0.6961520704506724,0.26315870732069013,0.20332198888063435,0.24661523529461452,0.25637709406706005,0.3132194511391901,0.3287937027152436,-0.016933856265885488,-0.026187077164649963,0.16503819944907203,0.1748794572693961,0.21342308077712357,0.22403514442792866,0.9442730844020844,0.4555293321609497,0.4935495853424072
random,all,4,20000922074300,20.0,3,15,True,0.670756462216377,0.6673057734966277,0.5655920088291168,0.9948555266864709,0.8432151469107493,0.0034506887197492953,0.10516445338726021,0.17667506024951027,0.1834796979313805,0.22073832963216478,0.23906596470128066,-0.06342396140098572,-0.08773305614789327,0.11732797225316366,0.12240185764100817,0.1507929863933969,0.16331314467404387,0.9636083543300629,0.684633731842041,0.6408937573432922
random,all,5,20000922074300,40.0,3,15,True,0.6479942947626111,0.3416652441024781,0.2782078027725219,0.5272658214184512,0.42933680901379184,0.30632905066013294,0.3697864919900892,0.22387393031801497,0.22491410403024584,0.29398468722985716,0.2970130594660556,-0.14103019038836162,-0.16666364471117656,0.15000103844536677,0.1547593092918396,0.2008297743993585,0.20289854647971348,0.9442730844020844,0.40603554248809814,0.3354198932647705
random,all,6,20000922074300,90.0,16,3,False,0.36296939849853505,0.10707008242607119,0.18658030629158018,0.29498377237579526,0.5140386684480599,0.25589931607246386,0.17638909220695487,0.22272531191507974,0.20627140998840332,0.2368418643062525,0.22338910318155572,0.18242883682250977,0.24645974238713583,0.11597088972727458,0.11541730827755399,0.1367407141125877,0.1289737588559003,0.40329933166503906,0.11896675825119019,0.2073114514350891
random,all,7,20000925111500,1.0,1,6,True,1.25222846865654,0.10449054837226868,0.05334433913230896,0.08344367740207338,0.042599525939176035,1.1477379202842712,1.198884129524231,0.56926589012146,0.5706074476242066,0.7055566173958662,0.7168394691440904,-0.07703193028767903,-0.1964296301205953,0.32071509626176625,0.3095086680518257,0.455434838163438,0.46271788764987126,1.567909836769104,0.11055481433868408,0.05535781383514404
random,all,8,20000925111500,1.0,1,6,True,1.25222846865654,0.10449054837226868,0.05334433913230896,0.08344367740207338,0.042599525939176035,1.1477379202842712,1.198884129524231,0.569265898068746,0.5706074873606364,0.7055565993351498,0.716839510260137,-0.07703198989232381,-0.19642972946166992,0.32071509626176625,0.30950868129730225,0.4554348265052957,0.4627179141901652,1.567909836769104,0.11055481433868408,0.05535781383514404
random,all,9,20000925111500,1.0,1,6,True,1.25222846865654,0.10449045896530151,0.05334433913230896,0.08344360600378672,0.042599525939176035,1.1477380096912384,1.198884129524231,0.569265898068746,0.5706074476242066,0.7055566153291292,0.7168394691440904,-0.07703195015589397,-0.1964296301205953,0.3207150830162896,0.3095086680518257,0.455434836829365,0.46271788764987126,1.567909836769104,0.11055469512939453,0.05535781383514404
random,all,10,20000925111500,1.0,1,6,True,1.25222846865654,0.10449057817459106,0.05334436893463135,0.08344370120150227,0.04259954973860492,1.1477378904819489,1.1988840997219086,0.5692658503850301,0.5706074555714925,0.7055565570359785,0.7168394688698269,-0.07703191041946411,-0.1964296499888102,0.320715069770813,0.309508654806349,0.4554347992012981,0.46271788747283493,1.567909836769104,0.11055481433868408,0.05535781383514404
random,all,11,20000925111500,1.0,1,6,True,1.25222846865654,0.10449054837226868,0.05334433913230896,0.08344367740207338,0.042599525939176035,1.1477379202842712,1.198884129524231,0.56926589012146,0.5706074476242066,0.7055566173958662,0.7168394691440904,-0.07703204949696858,-0.19642974932988486,0.32071509626176625,0.3095086680518257,0.455434838163438,0.46271788764987126,1.567909836769104,0.11055481433868408,0.05535781383514404
random,all,12,20000925111500,1.0,1,6,True,1.25222846865654,0.10449057817459106,0.05334442853927612,0.08344370120150227,0.04259959733746269,1.1477378904819489,1.1988840401172638,0.5692658583323161,0.5706074078877766,0.7055565595630715,0.7168394106073942,-0.07703200976053874,-0.19642968972524008,0.3207150830162896,0.3095086680518257,0.45543480083252963,0.46271784986459635,1.567909836769104,0.11055481433868408,0.055357933044433594
random,all,13,20000925111500,1.0,1,6,True,1.25222846865654,0.10449063777923584,0.05334445834159851,0.08344374880036004,0.04259962113689158,1.147737830877304,1.1988840103149414,0.569265882174174,0.5706075032552084,0.7055566194626098,0.7168395114340143,-0.07703202962875366,-0.19642972946166992,0.32071510950724286,0.30950868129730225,0.4554348394975153,0.4627179149478997,1.567909836769104,0.11055493354797363,0.055357933044433594
random,all,14,20000925111500,1.0,1,6,True,1.25222846865654,0.10449054837226868,0.05334436893463135,0.08344367740207338,0.04259954973860492,1.1477379202842712,1.1988840997219086,0.56926589012146,0.5706074317296346,0.7055566173958662,0.7168394499433036,-0.07703193028767903,-0.19642966985702515,0.32071509626176625,0.3095086415608724,0.455434838163438,0.46271787525581665,1.567909836769104,0.11055481433868408,0.05535781383514404
random,all,15,20000925111500,3.0,1,6,True,1.3166831582784653,0.04595792293548584,0.03315964341163635,0.034904314410442394,0.025184223860652905,1.2707252353429794,1.283523514866829,0.6335687359174093,0.633543074131012,0.7464607266473562,0.7493853520160239,-0.27101917068163556,-0.33657893538475037,0.36499207549624973,0.36520691712697345,0.4818383271505163,0.4837261647083072,1.567909836769104,0.0562288761138916,0.03725934028625488
random,all,17,20000925111500,10.0,3,4,False,0.48232137262821195,0.7930390387773514,0.6367624938488007,1.644212933082379,1.3202037686595254,0.3107176661491394,0.15444112122058873,0.34702513615290326,0.23592560489972433,0.401309215245696,0.2829918705270438,0.13306349515914917,0.06539125740528107,0.2069036364555359,0.14387055486440659,0.24575070160717477,0.17329642103675472,0.5630031228065491,0.8403072953224182,0.6783565282821655
random,all,20,20000925111500,90.0,5,2,False,0.02261230945587167,0.16090518236160278,0.178557926416397,7.115822586614257,7.896492251923936,0.1382928729057311,0.15594561696052534,0.20390832424163818,0.22352248430252075,0.20390832424163818,0.22352248430252075,0.060148417949676514,0.02665618062019348,0.10195416212081909,0.11176124215126038,0.10195416212081909,0.11176124215126038,0.025124788284301758,0.17878353595733643,0.198397696018219
random,all,21,20000925112300,1.0,3,3,False,1.1775203749537466,0.538912707567215,0.3757002353668214,0.45766741623335705,0.3190604964110103,0.6386076673865316,0.8018201395869252,0.5308103462060293,0.5939408441384634,0.617777954274552,0.7159111017398018,-0.04213356475035349,-0.16421522200107574,0.3346176875962152,0.3895336190859477,0.3566742681998289,0.4133314673053161,1.3083559721708298,0.5987918972969055,0.41744470596313477
random,all,22,20000925112300,3.0,1,5,True,1.2110134541988373,0.27117116451263423,0.16520099639892583,0.2239208520536473,0.13641549218643226,0.9398422896862031,1.0458124577999115,0.5509629487991333,0.6067848682403565,0.6316176507121947,0.6857178566872655,-0.34832978546619414,-0.5004163771867752,0.3716508662700653,0.39304761767387386,0.3994700773230415,0.43368605187613635,1.3083559721708298,0.30603837966918945,0.18863439559936523
random,all,23,20000925112300,5.0,1,5,True,1.2110134541988373,0.21824653148651119,0.13028597831726074,0.18021808984021173,0.10758425339167947,0.9927669227123261,1.0807274758815766,0.5897741317749023,0.6298053503036499,0.6921334699012767,0.7340147444995646,-0.5293268352746964,-0.6163087040185928,0.41849144220352164,0.44206258058547976,0.4377436419447261,0.46423168575303475,1.3083559721708298,0.25636398792266846,0.15318548679351807
random,all,24,20000925112300,10.0,1,5,True,1.1346942484378815,0.08514680862426749,0.02581501007080078,0.07503942911624693,0.022750630935461216,1.049547439813614,1.1088792383670807,0.5772510886192321,0.605612051486969,0.6765946585281091,0.7140568623084492,-0.33059079945087433,-0.4729216367006302,0.3684505343437195,0.3838601565361023,0.42791603473053846,0.45160921275358745,1.3083559721708298,0.0993729829788208,0.03116285800933838
random,all,25,20000925112300,20.0,1,5,True,0.9055967867374419,0.007464289665222168,0.006204009056091309,0.008242398575765128,0.006850741021776644,0.8981324970722198,0.8993927776813506,0.49664117097854615,0.49674760103225707,0.5686084385459969,0.5686450030107494,-0.6319140464067459,-0.7135356694459916,0.3177025294303894,0.3175471568107605,0.35961955251944616,0.3596426779174547,1.0219841450452805,0.008208274841308594,0.006865382194519043
random,all,28,20000927061400,1.0,2,4,False,0.7377243846654892,0.1422182053327561,0.14494292438030232,0.19277959125242003,0.19647300183255384,0.5955061793327331,0.5927814602851869,0.3741179903348287,0.3718453248341878,0.4422485505363176,0.4382384256420353,0.12031480669975281,0.13441002368927002,0.223455011844635,0.22188067436218262,0.2708208220748595,0.2683651321259035,0.8360667824745178,0.16062283515930176,0.16429215669631958
random,all,29,20000927061400,3.0,3,3,False,1.2278864415362476,0.39770084023475644,0.41343902349472045,0.3238905706436341,0.3367078660608499,0.8301856013014912,0.8144474180415271,0.7933310779432455,0.7997884464760622,0.8844499576959044,0.8967110122600156,0.0032411559174458184,-0.015839920068780582,0.47080542354120153,0.47899630707171226,0.5106374211604836,0.5177163443136218,1.3643182683736086,0.44188982248306274,0.4593766927719116
random,all,30,20000927061400,5.0,1,5,True,0.8696678280830382,0.2752738356590271,0.2597899079322815,0.3165275600292106,0.2987231441054021,0.5943939924240111,0.6098779201507567,0.38767257928848264,0.38992767333984374,0.4682091948754594,0.4705013006470059,0.057220786809921265,0.06901476979255676,0.2488792657852173,0.2506802940368652,0.2961214954480177,0.2975711504232386,0.998220294713974,0.2984662652015686,0.2816264033317566
random,all,32,20000927061400,20.0,1,5,True,1.1588867500424385,0.05875229835510254,0.05058008432388306,0.05069718706590703,0.04364540738948893,1.100134451687336,1.1083066657185554,0.5971792586147785,0.6030915744602681,0.702818389766505,0.7081784224494466,-0.3125518772751093,-0.3590126369148493,0.3345807483792305,0.3388310697674751,0.4445013786228263,0.44789136094503407,1.3643182683736086,0.07094496488571167,0.062049686908721924
random,all,33,20000927061400,40.0,1,5,True,0.8696678280830382,0.10688087940216062,0.0940080523490906,0.12289850900630919,0.10809650456578056,0.7627869486808776,0.7756597757339476,0.44054709672927855,0.44633227586746216,0.5215191095183882,0.5265749466163292,-0.15757566094398498,0.07015196681022644,0.280356616973877,0.2825368547439575,0.32983764587618114,0.3330352380178349,0.998220294713974,0.12047767639160156,0.10672575235366821
