protocol,stratum,value,events,realtime_rows,targets,base_mae,final_mae,delta_mae,base_rmse,final_rmse,delta_rmse,fields_ge5,one_station_fields_ge5
random,target_type,triggered_noninput,1301,6256,33601,0.23089298339160855,0.224602052866941,-0.0062909305246675595,0.29446365356712495,0.28805823911648004,-0.0064054144506449084,2530,667
random,target_type,untriggered,1292,6289,42053,0.2573109471322855,0.24839622811982162,-0.008914719012463851,0.33603563594229136,0.32860594760903217,-0.007429688333259188,3516,897
random,observable_route,observed_unique,0,0,0,,,,,,,0,0
random,observable_route,transport,1310,9681,75654,0.24557766138863033,0.23782827292020176,-0.00774938846842857,0.3182428900279752,0.31124980247244943,-0.0069930875555257455,5762,1494
random,observable_route,ambiguous_transport,0,0,0,,,,,,,0,0
random,actual_station_count,1,1067,2690,19861,0.2910040426786057,0.27866477380795884,-0.012339268870646847,0.36549104001229316,0.3568201548953373,-0.008670885116955851,1494,1494
random,actual_station_count,2,472,992,4835,0.2434228397547792,0.2310642823411514,-0.012358557413627819,0.30662017176263223,0.29356262984035764,-0.013057541922274596,358,0
random,actual_station_count,3,909,1843,15897,0.24256261865499582,0.2360390282592678,-0.006523590395728002,0.3173283748428617,0.3110490079803968,-0.006279366862464886,1206,0
random,actual_station_count,4,297,499,2585,0.22403393994595286,0.21864323013766562,-0.005390709808287236,0.29557161661077963,0.29126606979804287,-0.00430554681273676,195,0
random,actual_station_count,5,728,1181,10998,0.23184934380444897,0.22562637998762072,-0.006222963816828242,0.3018219657771926,0.29516407398158745,-0.006657891795605164,849,0
random,actual_station_count,6,170,239,1422,0.22123611598824441,0.2108865774389875,-0.01034953854925691,0.2896628525149112,0.27851940865671154,-0.011143443858199653,113,0
random,actual_station_count,7,143,178,1071,0.1943892409397162,0.19058828852743773,-0.0038009524122784855,0.25672448106161566,0.25233130001144377,-0.00439318105017189,81,0
random,actual_station_count,8,530,838,8338,0.2215092374293572,0.21719563505329723,-0.004313602376059961,0.2915761739532303,0.2873256541300765,-0.004250519823153831,650,0
random,actual_station_count,9,76,87,567,0.21545963401280382,0.20875176565961442,-0.0067078683531894,0.27658730148219773,0.27086464902444435,-0.0057226524577533855,40,0
random,actual_station_count,10,83,101,487,0.223127583990321,0.21429917172316532,-0.008828412267155694,0.29039250267478456,0.2834336298235835,-0.006958872851201059,39,0
random,actual_station_count,11,87,101,537,0.2192581477132756,0.21801204412995215,-0.0012461035833234435,0.30255604162074123,0.3038016769152227,0.001245635294481462,41,0
