model,factor,bin,min,max,n,label_mean,pred_mean,mae,bias,rmse,slope,corr,pred_std,label_std
b29_last,input_station_count,1-5,0,5,276,-1.7935472869880935,-1.4542947279802267,0.49312652901384013,0.3392525590078667,0.6294335777898716,0.41515465826921366,0.5193857308703311,0.47127982212610764,0.5896019952657713
b29_last,input_station_count,6-10,5,10,108,-1.5599808356276266,-1.3413139355403405,0.38237801525327897,0.21866690008728593,0.47495891482314456,0.6049333065890086,0.71515616787693,0.5015524622383404,0.5929386479083434
b29_last,input_station_count,11-15,10,15,148,-1.6695905369580597,-1.3524809447494712,0.38411422904480147,0.3171095922085884,0.49139607707638555,0.6643444152332839,0.732105108974772,0.4842764873474347,0.533670912878701
b29_last,input_station_count,16-20,15,20,180,-1.510632725391123,-1.2396447986364365,0.3840655616588063,0.2709879267546866,0.44951919112914135,0.6138136697284509,0.7282131582781939,0.4350547350122444,0.5161380370484516
b29_last,input_station_count,>20,20,inf,45,-1.7366458151075574,-1.4106666750378078,0.41022726164923773,0.3259791400697496,0.5375820192885249,0.46172446050676763,0.6780761277311393,0.3960281548634224,0.5815962997229197
b29_last,target_event_dist_units,<1,0,1,492,-1.5343757162271783,-1.295406094532672,0.40376817276096777,0.23896962169450622,0.4932093724241947,0.5532710781454226,0.6504766160459154,0.4672229048833524,0.5493104304790419
b29_last,target_event_dist_units,"[1,2)",1,2,221,-1.8525567673719847,-1.4696599808753346,0.43873644293163694,0.38289678649665004,0.5557345652088809,0.542377156196116,0.6751426150962676,0.4321538692180893,0.5379383885452081
b29_last,target_event_dist_units,"[2,3)",2,3,35,-2.166546106338501,-1.71891017471041,0.47021853072302683,0.447635931628091,0.7037379552944345,0.3414214251839841,0.3212750063174912,0.47980921039193325,0.45149687667313304
b29_last,target_event_dist_units,"[3,4)",3,4,4,-2.491758108139038,-1.8538261950016022,0.6379319131374359,0.6379319131374359,0.7421467988280271,-0.09535294329860552,-0.14841487988650542,0.19241617629377034,0.2994917902369359
b29_last,target_event_dist_units,>=4,4,inf,5,-2.107057809829712,-0.6637357473373413,1.4433220624923706,1.4433220624923706,1.5068479873296658,0.01064207187882767,0.060667753922842294,0.07558176637579027,0.4308724894691522
b43_last,input_station_count,1-5,0,5,276,-1.7935472869880935,-1.6847424725259559,0.3442004989792358,0.10880481446213747,0.4441736498562654,0.48224855209396295,0.6833905708229993,0.41606472296831537,0.5896019952657713
b43_last,input_station_count,6-10,5,10,108,-1.5599808356276266,-1.5720768278395687,0.2826925979720222,-0.01209599221194232,0.3744808759453311,0.5995855060439929,0.7755932132001103,0.45838129216254325,0.5929386479083434
b43_last,input_station_count,11-15,10,15,148,-1.6695905369580597,-1.6196736693382263,0.24998228599292202,0.04991686761983343,0.3413135196348279,0.6608525065240529,0.7777477026560063,0.45346036925660543,0.533670912878701
b43_last,input_station_count,16-20,15,20,180,-1.510632725391123,-1.5525375369522307,0.26102145695024065,-0.04190481156110763,0.3465593922471815,0.6135233004745122,0.7488140524470384,0.42288564291172825,0.5161380370484516
b43_last,input_station_count,>20,20,inf,45,-1.7366458151075574,-1.6628687991036308,0.3333747784296672,0.0737770160039266,0.4430490782303832,0.47738138502691957,0.6626580506708832,0.41898419072577364,0.5815962997229197
b43_last,target_event_dist_units,<1,0,1,492,-1.5343757162271783,-1.5505834924496287,0.2949718484526422,-0.01620777622245042,0.38734916406389996,0.5452019371739392,0.7117389618492344,0.4207794245644558,0.5493104304790419
b43_last,target_event_dist_units,"[1,2)",1,2,221,-1.8525567673719847,-1.7347305379302254,0.2864282529008874,0.11782622944175927,0.3785566055948742,0.5967044306522263,0.7455011205236939,0.4305697349419918,0.5379383885452081
b43_last,target_event_dist_units,"[2,3)",2,3,35,-2.166546106338501,-1.9078260626111712,0.32031117847987584,0.2587200437273298,0.48077838425467884,0.46518750279676796,0.5422630057500146,0.38732257659660485,0.45149687667313304
b43_last,target_event_dist_units,"[3,4)",3,4,4,-2.491758108139038,-2.093095064163208,0.4076579809188843,0.3986630439758301,0.517538632114406,0.06119165547448668,0.10546374518567919,0.17376965338515435,0.2994917902369359
b43_last,target_event_dist_units,>=4,4,inf,5,-2.107057809829712,-1.472391176223755,0.648985481262207,0.634666633605957,0.7265325466056638,0.5198390830471007,0.6155319155525526,0.3638874836161803,0.4308724894691522
