Model,Split,Task,Samples,MAE,Corr
Cross overfit128,train,mag,1537,0.2294,0.9356
Cross overfit128,train,epidist,1537,0.2911,0.8924
Cross overfit128,train,pga,1537,0.1661,0.934
Cross overfit128,val,mag,231,0.2568,0.8511
Cross overfit128,val,epidist,231,0.3205,0.8794
Cross overfit128,val,pga,231,0.1654,0.9313
Cross fixed inputs/targets,train,mag,289,0.2058,0.953
Cross fixed inputs/targets,train,epidist,289,0.226,0.9172
Cross fixed inputs/targets,train,pga,289,0.2209,0.9495
Cross fixed inputs/targets,val,mag,61,0.3529,0.6949
Cross fixed inputs/targets,val,epidist,61,0.4118,0.8514
Cross fixed inputs/targets,val,pga,61,0.2784,0.9117
Graph prior first-inputs,train,mag,417,0.2694,0.9574
Graph prior first-inputs,train,epidist,417,0.3282,0.9032
Graph prior first-inputs,train,pga,417,0.2267,0.8686
Graph prior first-inputs,val,mag,80,0.3576,0.8014
Graph prior first-inputs,val,epidist,80,0.4266,0.8854
Graph prior first-inputs,val,pga,80,0.1977,0.8721
Graph prior random-inputs,train,mag,294,0.3488,0.9283
Graph prior random-inputs,train,epidist,294,0.3425,0.8902
Graph prior random-inputs,train,pga,294,0.2897,0.7699
Graph prior random-inputs,val,mag,78,0.3486,0.8391
Graph prior random-inputs,val,epidist,78,0.4767,0.8926
Graph prior random-inputs,val,pga,78,0.2515,0.7873
