station_code,station_lat,station_lon,input_source,query_radius_km,api_version,vs30_mps,vs30_valid,vs30_source,vs30_mesh_code,vs30_jcode,vs30_query_distance_km,arv,status,error,api_url
ABSH02,44.4234,143.0264,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,327.3,1,j-shis_meshsearch_avs,6643500233,10,,1.19,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.02640000%2C44.42340000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH03,44.3843,143.2407,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,321.8,1,j-shis_meshsearch_avs,6643416912,10,,1.20,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.24070000%2C44.38430000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH06,44.2146,143.6202,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,263.3,1,j-shis_meshsearch_avs,6643245943,11,,1.43,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.62020000%2C44.21460000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH07,43.8494,143.0861,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,510.4,1,j-shis_meshsearch_avs,6543601644,4,,0.81,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.08610000%2C43.84940000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH09,43.9269,144.8071,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,374.1,1,j-shis_meshsearch_avs,6544761421,8,,1.06,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=144.80710000%2C43.92690000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH10,44.0813,143.9455,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,344.7,1,j-shis_meshsearch_avs,6643079543,8,,1.14,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.94550000%2C44.08130000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH11,43.9144,144.1913,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,264.7,1,j-shis_meshsearch_avs,6544619532,9,,1.42,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=144.19130000%2C43.91440000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH13,43.7419,143.4514,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,457.2,1,j-shis_meshsearch_avs,6543439611,8,,0.89,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.45140000%2C43.74190000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH14,43.7228,144.1835,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,362.9,1,j-shis_meshsearch_avs,6544416441,8,,1.09,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=144.18350000%2C43.72280000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
ABSH15,43.6352,143.51,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,501.0,1,j-shis_meshsearch_avs,6543346022,8,,0.83,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=143.51000000%2C43.63520000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
AIC001,35.2974,136.7505,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,183.8,1,j-shis_meshsearch_avs,5236765031,14,,1.94,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=136.75050000%2C35.29740000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
AIC002,35.2979,136.9154,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,402.5,1,j-shis_meshsearch_avs,5236775331,8,,0.99,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=136.91540000%2C35.29790000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
